nombre,edad,altura_cm,peso_kg,alcance_cm,splm,sapm,str_acc,str_def,td_avg,td_acc,td_def,sub_avg,wins,losses,imagen_url
Rolando Delgado,44.40547945205479,190.5,70.30676,195.58,1.56,1.83,0.4,0.62,1.17,0.22,0.0,3.5,11,6,
Israel Delgado,0.0,177.8,70.30676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,
Jose Delgado,27.983561643835618,180.34,65.77083999999999,187.96,8.22,5.44,0.54,0.47,1.81,0.42,0.6,0.0,10,2,
Ante Delija,35.69315068493151,190.5,108.408488,198.12,4.28,3.95,0.38,0.52,0.0,0.0,0.75,0.0,26,8,
Jack Della Maddalena,29.594520547945205,180.34,77.11064,185.42000000000002,5.57,3.84,0.51,0.63,0.13,0.1,0.64,0.1,18,3,
Roland Delorme,42.33424657534247,175.26,61.23492,180.34,2.28,4.32,0.44,0.4,2.51,0.34,0.42,1.6,9,5,
Jon Delos Reyes,38.66301369863014,167.64000000000001,56.699,170.18,2.99,4.14,0.38,0.51,3.2,0.83,0.55,1.9,8,5,
Jason DeLucia,56.74520547945205,180.34,86.18248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,21,
Justin DeMoney,40.797260273972604,0.0,77.11064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,7,
Vanessa Demopoulos,37.56712328767123,157.48000000000002,56.699,149.86,3.37,5.39,0.39,0.41,0.32,0.09,0.26,0.4,11,8,
Chris Dempsey,38.608219178082194,177.8,83.91452,182.88,2.25,2.82,0.32,0.65,2.64,0.23,0.16,0.0,11,5,
Nick Denis,42.52054794520548,170.18,61.23492,0.0,6.54,5.42,0.53,0.36,2.8,1.0,0.8,0.0,11,3,
Thomas Denny,55.00821917808219,177.8,77.11064,0.0,2.36,4.69,0.45,0.4,1.48,0.17,0.42,1.5,27,21,
Robert Densley,0.0,175.26,70.30676,0.0,1.81,0.4,0.47,0.6,0.0,0.0,0.5,0.0,9,10,
Jason Dent,45.85205479452055,177.8,70.30676,180.34,2.01,3.7,0.39,0.62,0.0,0.0,0.26,1.4,22,13,
Mackenzie Dern,33.06301369863014,162.56,52.16308,160.02,3.47,3.93,0.41,0.51,0.93,0.18,0.37,1.1,16,5,
Booker DeRousse,45.07397260273972,187.96,92.98636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,5,
Tony DeSouza,51.73698630136986,182.88,77.11064,177.8,1.12,1.57,0.52,0.41,2.25,0.42,0.4,1.5,11,4,
Robelis Despaigne,37.602739726027394,200.66,120.20188,213.36,2.11,2.54,0.59,0.46,0.0,0.0,0.5,0.0,5,2,
Cory Devela,41.701369863013696,152.4,83.91452,0.0,4.07,4.0,0.41,0.47,1.07,0.12,0.62,0.0,16,7,
John Devine,48.25479452054795,0.0,0.0,0.0,1.52,2.28,0.18,0.57,0.0,0.0,0.0,0.0,6,4,
Edwin DeWees,43.6986301369863,185.42,83.91452,0.0,1.53,6.19,0.33,0.39,2.18,0.66,0.0,3.3,38,17,
Alessio Di Chirico,36.345205479452055,182.88,83.91452,187.96,3.32,3.44,0.39,0.61,1.46,0.39,0.83,0.0,13,7,
Micol Di Segni,38.3013698630137,160.02,52.16308,152.4,7.47,5.87,0.4,0.33,0.0,0.0,0.37,0.0,7,3,
Cyrille Diabate,52.53972602739726,198.12,92.98636,205.74,4.06,1.78,0.71,0.6,1.17,0.83,0.53,0.2,19,10,
Thomas Diagne,42.62465753424657,185.42,69.853168,0.0,4.53,4.53,0.48,0.63,2.0,1.0,0.66,0.0,6,6,
Marc Diakiese,33.084931506849315,177.8,70.30676,185.42000000000002,2.54,2.64,0.4,0.52,3.29,0.43,0.66,0.0,17,7,
Tyler Diamond,35.082191780821915,170.18,65.77083999999999,175.26,3.4,2.53,0.47,0.44,3.0,0.75,0.7,0.0,9,1,
